series,Units,date,price
El Salvador (10 lbs)- commercial,US$/cylinder,2016-04-01,3.56
El Salvador (10 lbs)- hh,US$/cylinder,2016-04-01,3.56
El Salvador (20 lbs)- commercial,US$/cylinder,2016-04-01,7.08
El Salvador (20 lbs)- hh,US$/cylinder,2016-04-01,7.08
El Salvador (25 lbs) - commercial,US$/cylinder,2016-04-01,8.82
El Salvador (25 lbs) - hh,US$/cylinder,2016-04-01,8.82
El Salvador (35 lbs) - commercial,US$/cylinder,2016-04-01,12.35
El Salvador (35 lbs) - hh,US$/cylinder,2016-04-01,12.35
Fiji (12kg cylinder) ,Fiji dollar per cylinder,2016-04-01,33.38
Fiji (4.5kg cylinder) ,Fiji dollar per cylinder,2016-04-01,12.52
Fiji (LPG per kg wholesale),Fiji dollar per kg,2016-04-01,2.78
Grenada - LPG 20 lb cylinder ,EC$/cylinder,2016-04-01,42.0
Guatemala  - country regulated price (LPG 25lb cylinder,Q/Cylinder,2016-04-01,90.0
India (14.2 kg subsidized) - Mumbai ,INR/cylinder,2016-04-01,452.0
India (14.2 kg subsidized) - New Delhi ,INR/cylinder,2016-04-01,419.0
India (14.2 kg unsubsidized) - Mumbai ,INR/cylinder,2016-04-01,518.0
India (14.2 kg unsubsidized) - New Delhi ,INR/cylinder,2016-04-01,509.5
India (5 kg subsidized) - New Delhi ,INR/cylinder,2016-04-01,156.0
India (5 kg unsubsidized) - Mumbai ,INR/cylinder,2016-04-01,245.0
India (5 kg unsubsidized) - New Delhi ,INR/cylinder,2016-04-01,187.5
Israel (LPG) - prices at refinery gate excluding taxes and duties,ILS/kg,2016-04-01,1.5335
Jamaica (Butane),JMD/liter,2016-04-01,36.8625
Jamaica (Propane),JMD/liter,2016-04-01,31.9925
Jordan (LPG - 12.5kg),JD/CY,2016-04-01,7.0
Lebanon (LPG 10kg),LBP/cylinder,2016-04-01,12275.0
Malaysia,RM/kg,2016-04-01,1.9
Malaysia (10 kg cylinder),RM/cylinder,2016-04-01,19.0
Malaysia (12kg cylinder),RM/cylinder,2016-04-01,22.8
Malaysia (14kg cylinder),RM/cylinder,2016-04-01,26.6
Martinique (LPG 12.5 kg cylinder),Eur/cylinder,2016-04-01,19.92
Mozambique,metical/kg,2016-04-01,55.46
Nicaragua (LPG 25lb),córdobas/cylinder,2016-04-01,225.30882352941177
Niger (12.5 kg cylinder),XOF/cylinder,2016-04-01,3750.0
Niger (3 kg cylinder),XOF/cylinder,2016-04-01,900.0
Niger (6 kg cylinder),XOF/cylinder,2016-04-01,1800.0
Niger (per kg),XOF/kg,2016-04-01,300.0
Nigeria (5kg cylinder refilling) - Abuja,NGN/cylinder,2016-04-01,1883.33333333333
Nigeria (5kg cylinder refilling) - Lagos,NGN/cylinder,2016-04-01,2000.0
Nigeria (5kg cylinder refilling)- Kano,NGN/cylinder,2016-04-01,1950.0
Peru (Petroperu Calla district where Lima is),soles/gallon,2016-04-01,1.85
Senegal (6kg cylinder),XOF/cylinder,2016-04-01,2885.0
Syria (LPG subsidized 10kg),lira/cylinder,2016-04-01,1800.0
Thailand (LPG cooking) - Ex-refinery Price,Baht/kg,2016-04-01,13.970856666666666
Thailand (LPG cooking) - Retail Price,Baht/kg,2016-04-01,20.29
Thailand (LPG industry) - Ex-refinery Price,Baht/kg,2016-04-01,13.970856666666666
Thailand (LPG industry) - Retail Price,Baht/kg,2016-04-01,20.29
Thailand (LPG low income hh) - Ex-refinery Price,Baht/kg,2016-04-01,13.970856666666666
Thailand (LPG low income hh) - Retail Price,Baht/kg,2016-04-01,18.13
Togo (12.5kg bottle),XOF/cylinder,2016-04-01,6500.0
Togo (6kg bottle),XOF/cylinder,2016-04-01,3120.0
Uruguay,UYU/kg,2016-04-01,35.0
Angola (LPG) ,kwanzas/kg,2016-05-01,100.0
Belize (100 lbs),BEL$/cylinder,2016-05-01,83.9
Brazil (LPG 13 kg bottle) - Country Average,R$/13kg,2016-05-01,53.384
Brazil (LPG 13 kg bottle) - Distrito Federal,R$/13kg,2016-05-01,57.435
Brazil (LPG 13 kg bottle) - Rio de Janeiro,R$/13kg,2016-05-01,49.672
Burkina Faso  (12.5kg cylinder),XOF/cylinder,2016-05-01,5000.0
Chile (LPG catalytic 5kg) - Metropolitan Region,CH$/liter,2016-05-01,6631.86274509804
Chile (LPG current 5kg) - Metropolitan Region,CH$/liter,2016-05-01,6494.60784313726
Curacao (100 lb bottle),NAF per 100 lb bottle,2016-05-01,40.0
Curacao (20 lb bottle),NAF per 20 lb bottle,2016-05-01,8.0
El Salvador (10 lbs)- commercial,US$/cylinder,2016-05-01,3.57
El Salvador (10 lbs)- hh,US$/cylinder,2016-05-01,3.57
El Salvador (20 lbs)- commercial,US$/cylinder,2016-05-01,7.1
El Salvador (20 lbs)- hh,US$/cylinder,2016-05-01,7.1
El Salvador (25 lbs) - commercial,US$/cylinder,2016-05-01,8.85
El Salvador (25 lbs) - hh,US$/cylinder,2016-05-01,8.85
El Salvador (35 lbs) - commercial,US$/cylinder,2016-05-01,12.39
El Salvador (35 lbs) - hh,US$/cylinder,2016-05-01,12.39
Fiji (12kg cylinder) ,Fiji dollar per cylinder,2016-05-01,33.38
Fiji (4.5kg cylinder) ,Fiji dollar per cylinder,2016-05-01,12.52
Fiji (LPG per kg wholesale),Fiji dollar per kg,2016-05-01,2.78
